WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13016589.3937 4070504.4577),320,3,-116.93,6,8,13.42,5.3,1943,34.31,29,45,-1.30E+07,4070504
POINT (-12890798.3478 4081291.1612),321,15,-115.8,6,12,28.43,5.12,1943,34.39,22,50,-1.30E+07,4081291
POINT (-13903805.9482 4909634.4245),322,15,-124.9,,1,40,5.1,1944,40.3,12,2,-1.40E+07,4909634
POINT (-13926069.8494 4909634.4221),323,2,-125.1,,1,29,5.1,1944,40.3,16,20,-1.40E+07,4909634
POINT (-12993212.2938 4028802.682),324,10,-116.72,6,6,34.67,5.05,1944,34,12,45,-1.30E+07,4028803
POINT (-12989872.7085 4030145.5171),325,11,-116.69,6,6,35.8,5.24,1944,34.01,12,16,-1.30E+07,4030146
POINT (-13747958.6537 5041887.2752),326,19,-123.5,,5,54,5,1945,41.2,2,47,-1.40E+07,5041887
POINT (-13080041.5436 4450264.3518),327,3,-117.5,,6,13,5,1945,37.08,14,30,-1.30E+07,4450264
POINT (-12869647.6299 3916561.2391),328,17,-115.61,6,8,18.35,5.76,1945,33.16,15,56,-1.30E+07,3916561
POINT (-12920854.6046 3912572.6689),329,18,-116.07,6,1,21.19,5.3,1946,33.13,8,54,-1.30E+07,3912573
POINT (-13125682.5277 4264905.1832),330,13,-117.91,6,3,1.77,5.44,1946,35.74,15,21,-1.30E+07,4264905
POINT (-13124569.3322 4260791.5263),331,13,-117.9,6,3,36.84,6,1946,35.71,15,49,-1.30E+07,4260792
POINT (-13098965.845 4260791.5283),332,14,-117.67,6,3,36.69,5.19,1946,35.71,15,,-1.30E+07,4260792
POINT (-13117890.1615 4259420.652),333,19,-117.84,6,3,54.52,5.44,1946,35.7,15,18,-1.30E+07,4259421
POINT (-13142380.4537 4259420.65),334,21,-118.06,6,3,35.39,5.04,1946,35.7,15,54,-1.30E+07,4259421
POINT (-13124569.3629 4621893.6147),335,14,-117.9,,3,53,5,1946,38.3,17,45,-1.30E+07,4621894
POINT (-13115663.772 4269020.3913),336,15,-117.82,6,3,42.93,5.23,1946,35.77,18,50,-1.30E+07,4269020
POINT (-13525319.6272 4938869.9345),337,6,-121.5,,7,15,5,1946,40.5,7,55,-1.40E+07,4938870
POINT (-12913062.2509 4096139.7135),338,14,-116,6,7,59.42,5.48,1946,34.5,18,27,-1.30E+07,4096140
POINT (-13430697.9875 4332316.0165),339,6,-120.65,,2,,5,1947,36.23,5,14,-1.30E+07,4332316
POINT (-12965382.4256 4163881.8254),340,15,-116.47,6,4,4.63,6.5,1947,35,10,58,-1.30E+07,4163882
POINT (-12980967.1572 4165240.8676),341,16,-116.61,6,4,59.29,5.02,1947,35.01,10,2,-1.30E+07,4165241
POINT (-13881542.0484 4924241.3045),342,20,-124.7,,5,,5.2,1947,40.4,27,59,-1.40E+07,4924241
POINT (-12966495.6116 4031488.5118),343,22,-116.48,6,7,46.93,5.3,1947,34.02,24,10,-1.30E+07,4031489
POINT (-12959816.4412 4035518.4413),344,6,-116.42,6,7,49.56,5.23,1947,34.05,25,19,-1.30E+07,4035518
POINT (-13937201.8016 4924241.2983),345,13,-125.2,,9,55,5.3,1947,40.4,23,52,-1.40E+07,4924241
POINT (-13303793.7174 3909914.3575),346,21,-119.51,6,11,4.75,5,1947,33.11,18,59,-1.30E+07,3909914
POINT (-13203606.1543 3826484.9324),347,8,-118.61,6,2,10.24,5.21,1948,32.48,24,15,-1.30E+07,3826485
POINT (-13881542.0502 4938869.8951),348,19,-124.7,,8,57,5,1948,40.5,18,11,-1.40E+07,4938870
POINT (-12938665.7338 4028802.6856),349,23,-116.23,,12,14.75,6,1948,34,4,43,-1.30E+07,4028803
POINT (-13367245.9106 4800764.1288),350,12,-120.08,,12,28,6,1948,39.55,29,53,-1.30E+07,4800764
POINT (-13107871.4211 4450264.3493),351,21,-117.75,,2,24,5.6,1949,37.08,11,5,-1.30E+07,4450264
POINT (-13523093.1884 4441895.5785),352,12,-121.48,,3,39,5.2,1949,37.02,9,28,-1.40E+07,4441896
POINT (-14026257.4212 5056693.5273),353,20,-126,,3,56,6.2,1949,41.3,24,56,-1.40E+07,5056694
POINT (-12876326.8077 4027460.0129),354,11,-115.67,6,5,46.31,5.71,1949,33.99,2,25,-1.30E+07,4027460
POINT (-12983193.5226 3781702.4781),355,20,-116.63,6,11,38.53,5.66,1949,32.14,4,42,-1.30E+07,3781702
